
text,label,notes
Mahrez big chance against Jordan 20' (Match Clip),reaction,Event/news update or emotional response
Al Rashdan chance against Algeria 2' (Match Clip),reaction,Event/news update or emotional response
Jordan vs Algeria in the 2026 FIFA World Cup is the first time an all-Arab fixture in the World Cup does not feature Saudi Arabia.,reaction,Event/news update or emotional response
Kylian Mbappé showing the staff where the pitch is flooded.,reaction,Event/news update or emotional response
Daily Discussion thread on r/soccer.,reaction,Event/news update or emotional response
"Match Thread: Jordan vs Algeria | FIFA World Cup 2026 | Group Stage, Group J.",reaction,Event/news update or emotional response
[FIFA] Teams qualified for FIFA World Cup Round of 32.,reaction,Event/news update or emotional response
Iconic Brazilian commentator Galvão Bueno has called 148 matches across 14 World Cups.,reaction,Event/news update or emotional response
Norway players and fans doing the Viking Row celebration.,reaction,Event/news update or emotional response
"[BBC] After a 3-2 win over Senegal, Norway confirm their place in the knockouts for the first time since 1998.",reaction,Event/news update or emotional response
Post Match Thread: Norway 3 - 2 Senegal | FIFA World Cup 2026.,reaction,Event/news update or emotional response
Senegal penalty shout vs Norway 83' (Moller Wolfe handball).,reaction,Event/news update or emotional response
Norway 3–2 Senegal - Ismaïla Sarr scores at 90+3'.,reaction,Event/news update or emotional response
Norway fans doing Viking Row against Senegal at 85'.,reaction,Event/news update or emotional response
Senegal penalty shout against Norway 74'.,reaction,Event/news update or emotional response
Norway 3–1 Senegal - Erling Haaland scores at 58'.,reaction,Event/news update or emotional response
France vs Iraq match suspended due to inclement weather.,reaction,Event/news update or emotional response
BBC’s 3D first‑person simulation of Messi’s record‑breaking goal vs Austria.,reaction,Event/news update or emotional response
France against Iraq will resume at 00:00 UTC with no hydration breaks.,reaction,Event/news update or emotional response
[AS] Atlético Madrid will report Barcelona over Julián Álvarez: 'Everyone knows it's a cheating club'.,reaction,Event/news update or emotional response
France 2–0 Iraq – Kylian Mbappé scores at 54'.,reaction,Event/news update or emotional response
Norway 2–0 Senegal – Erling Haaland scores at 48'.,reaction,Event/news update or emotional response
"Lionel Messi becomes the all‑time leading World Cup goalscorer with 17, surpassing Miroslav Klose's 16.",reaction,Event/news update or emotional response
Lionel Messi penalty miss against Austria 8'.,reaction,Event/news update or emotional response
Reuters: Iran leave note of thanks in LA locker room after drawing with Belgium.,reaction,Event/news update or emotional response
"Miroslav Klose on Messi breaking his record: 'I've always said Messi isn't half bad. He's the best footballer of all time. Congrats, champion!'.",reaction,Event/news update or emotional response
Norway has invaded Times Square (media post).,reaction,Event/news update or emotional response
Serbian pundit Rade Bogdanović: 'Black players don't have the concentration to last more than 60 to 80 minutes'.,reaction,Event/news update or emotional response
Julián Álvarez: 'I spoke with Atlético Madrid; the best thing for everyone is a transfer'.,reaction,Event/news update or emotional response
Germany's Nico Schlotterbeck is out of the World Cup due to a foot injury.,reaction,Event/news update or emotional response
Jeremy Doku became a father and travelled to London before the match against Iran.,reaction,Event/news update or emotional response
Argentinian fans spot an Austrian fan and immediately adopt him.,reaction,Event/news update or emotional response
New Zealand's Ben Old: 'He fell on my ballsack and ripped my shorts and underwear' after a non‑call vs Egypt.,reaction,Event/news update or emotional response
